horizon,day,slot,index,feature,coef_unified_kernel,coef_legacy_separate,difference,abs_difference,relative_abs_diff,sigma2_primary,sigma2_legacy,n_obs_primary,n_obs_legacy
2,1,2,15,M_Y_day2_anticipated_affect,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,16,M_Y_day3_fourSC_morning,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,17,M_Y_day3_fourSC_afternoon,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,18,M_Y_day3_anticipated_affect,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,19,M_Y_day4_fourSC_morning,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,20,M_Y_day4_fourSC_afternoon,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,21,M_Y_day4_anticipated_affect,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,22,M_Y_day5_fourSC_morning,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,23,M_Y_day5_fourSC_afternoon,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,24,M_Y_day5_anticipated_affect,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,25,M_Y_day6_fourSC_morning,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,26,M_Y_day6_fourSC_afternoon,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,27,M_Y_day6_anticipated_affect,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,28,M_E_day1_pageview_morning,0.03211923159317368,-0.013154955970649425,-0.04527418756382311,0.04527418756382311,1.4095663351250673,0.007795153315238927,0.002326001457118403,319,319
2,1,2,29,M_E_day1_pageview_afternoon,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,30,M_E_day1_morning_fitbit_wear,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,31,M_E_day1_daily_survey_complete,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,32,M_E_day2_pageview_morning,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,33,M_E_day2_pageview_afternoon,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,34,M_E_day2_morning_fitbit_wear,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,35,M_E_day2_daily_survey_complete,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,36,M_E_day3_pageview_morning,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,37,M_E_day3_pageview_afternoon,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,38,M_E_day3_morning_fitbit_wear,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,39,M_E_day3_daily_survey_complete,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,40,M_E_day4_pageview_morning,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,41,M_E_day4_pageview_afternoon,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,42,M_E_day4_morning_fitbit_wear,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,43,M_E_day4_daily_survey_complete,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,44,M_E_day5_pageview_morning,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,45,M_E_day5_pageview_afternoon,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,46,M_E_day5_morning_fitbit_wear,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,47,M_E_day5_daily_survey_complete,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,48,M_E_day6_pageview_morning,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,49,M_E_day6_pageview_afternoon,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,50,M_E_day6_morning_fitbit_wear,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
2,1,2,51,M_E_day6_daily_survey_complete,0.0,0.0,0.0,0.0,0.0,0.007795153315238927,0.002326001457118403,319,319
