Host: holy7c18103.rc.fas.harvard.edu
Job ID: 21999820  Task ID: 35
RESULTS_ROOT=/n/home09/xliu08/ADAPT_RCT_Experiment/results_mtd_joint
OnlineEnv defined.
[priors] using default zero/identity priors (USE_ESTIMATED_PRIORS=0 -> defaults)
Priors ready:  p_rl(micro)=79, p_rs=61, p_b=4, p_mtd_joint=83
Runner functions defined.
Running a single seed from index 35: seed=34 (N_EXPERIMENTS=100)
  Experiment 0, draw 44/100, user 138, exp_seed 34, draw_seed 4265409682 ... CAE means: micro_g0=-0.801, micro_g05=-0.735, mtd_g0=-0.737, mtd_g05=-0.696, rs_g0=-0.724, rs_g05=-0.722, rs_mtd_g0=-0.690, rs_mtd_g05=-0.706, never_send=-0.729, always_send=-0.732, random_send=-0.731
  Experiment 0, draw 45/100, user 118, exp_seed 34, draw_seed 2750839864 ... CAE means: micro_g0=-0.157, micro_g05=-0.155, mtd_g0=-0.156, mtd_g05=-0.156, rs_g0=-0.155, rs_g05=-0.156, rs_mtd_g0=-0.154, rs_mtd_g05=-0.157, never_send=-0.157, always_send=-0.151, random_send=-0.156
  Experiment 0, draw 46/100, user 204, exp_seed 34, draw_seed 1031285681 ... CAE means: micro_g0=-0.358, micro_g05=-0.363, mtd_g0=-0.362, mtd_g05=-0.364, rs_g0=-0.370, rs_g05=-0.365, rs_mtd_g0=-0.369, rs_mtd_g05=-0.359, never_send=-0.354, always_send=-0.380, random_send=-0.350
  Experiment 0, draw 47/100, user 188, exp_seed 34, draw_seed 2301732835 ... CAE means: micro_g0=0.979, micro_g05=0.971, mtd_g0=1.005, mtd_g05=0.993, rs_g0=0.978, rs_g05=0.976, rs_mtd_g0=0.975, rs_mtd_g05=0.991, never_send=0.853, always_send=0.932, random_send=0.879
  Experiment 0, draw 48/100, user 204, exp_seed 34, draw_seed 4090681795 ... CAE means: micro_g0=-0.364, micro_g05=-0.365, mtd_g0=-0.365, mtd_g05=-0.365, rs_g0=-0.365, rs_g05=-0.364, rs_mtd_g0=-0.361, rs_mtd_g05=-0.365, never_send=-0.358, always_send=-0.385, random_send=-0.359
  Experiment 0, draw 49/100, user 151, exp_seed 34, draw_seed 428124970 ... CAE means: micro_g0=0.706, micro_g05=0.723, mtd_g0=0.705, mtd_g05=0.725, rs_g0=0.695, rs_g05=0.737, rs_mtd_g0=0.704, rs_mtd_g05=0.690, never_send=0.622, always_send=0.810, random_send=0.712
  Experiment 0, draw 50/100, user 195, exp_seed 34, draw_seed 3846573206 ... CAE means: micro_g0=0.261, micro_g05=0.262, mtd_g0=0.264, mtd_g05=0.261, rs_g0=0.265, rs_g05=0.259, rs_mtd_g0=0.262, rs_mtd_g05=0.265, never_send=0.251, always_send=0.258, random_send=0.260
  Experiment 0, draw 51/100, user 239, exp_seed 34, draw_seed 3940021430 ... CAE means: micro_g0=-2.752, micro_g05=-2.768, mtd_g0=-2.736, mtd_g05=-2.771, rs_g0=-2.760, rs_g05=-2.766, rs_mtd_g0=-2.761, rs_mtd_g05=-2.780, never_send=-2.695, always_send=-2.715, random_send=-2.754
  Experiment 0, draw 52/100, user 170, exp_seed 34, draw_seed 3743251257 ... CAE means: micro_g0=0.486, micro_g05=0.485, mtd_g0=0.477, mtd_g05=0.489, rs_g0=0.484, rs_g05=0.480, rs_mtd_g0=0.483, rs_mtd_g05=0.481, never_send=0.464, always_send=0.479, random_send=0.475
  Experiment 0, draw 53/100, user 184, exp_seed 34, draw_seed 905824413 ... CAE means: micro_g0=-0.523, micro_g05=-0.524, mtd_g0=-0.512, mtd_g05=-0.516, rs_g0=-0.486, rs_g05=-0.515, rs_mtd_g0=-0.517, rs_mtd_g05=-0.527, never_send=-0.433, always_send=-0.581, random_send=-0.512
  Experiment 0, draw 54/100, user 257, exp_seed 34, draw_seed 1391822256 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 55/100, user 239, exp_seed 34, draw_seed 4250037762 ... CAE means: micro_g0=-2.759, micro_g05=-2.765, mtd_g0=-2.757, mtd_g05=-2.760, rs_g0=-2.762, rs_g05=-2.754, rs_mtd_g0=-2.764, rs_mtd_g05=-2.772, never_send=-2.688, always_send=-2.713, random_send=-2.734
  Experiment 0, draw 56/100, user 257, exp_seed 34, draw_seed 2585105126 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 57/100, user 170, exp_seed 34, draw_seed 42462732 ... CAE means: micro_g0=0.448, micro_g05=0.457, mtd_g0=0.458, mtd_g05=0.459, rs_g0=0.455, rs_g05=0.466, rs_mtd_g0=0.462, rs_mtd_g05=0.464, never_send=0.448, always_send=0.451, random_send=0.453
  Experiment 0, draw 58/100, user 204, exp_seed 34, draw_seed 138848979 ... CAE means: micro_g0=-0.365, micro_g05=-0.369, mtd_g0=-0.367, mtd_g05=-0.373, rs_g0=-0.368, rs_g05=-0.369, rs_mtd_g0=-0.364, rs_mtd_g05=-0.368, never_send=-0.357, always_send=-0.380, random_send=-0.363
  Experiment 0, draw 59/100, user 257, exp_seed 34, draw_seed 1480502361 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 60/100, user 204, exp_seed 34, draw_seed 2023573304 ... CAE means: micro_g0=-0.365, micro_g05=-0.361, mtd_g0=-0.362, mtd_g05=-0.360, rs_g0=-0.357, rs_g05=-0.363, rs_mtd_g0=-0.362, rs_mtd_g05=-0.365, never_send=-0.349, always_send=-0.374, random_send=-0.352
  Experiment 0, draw 61/100, user 251, exp_seed 34, draw_seed 2284882075 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 62/100, user 225, exp_seed 34, draw_seed 756871175 ... CAE means: micro_g0=0.513, micro_g05=0.500, mtd_g0=0.515, mtd_g05=0.510, rs_g0=0.512, rs_g05=0.508, rs_mtd_g0=0.502, rs_mtd_g05=0.502, never_send=0.486, always_send=0.545, random_send=0.503
  Experiment 0, draw 63/100, user 225, exp_seed 34, draw_seed 3489553737 ... CAE means: micro_g0=0.496, micro_g05=0.498, mtd_g0=0.501, mtd_g05=0.502, rs_g0=0.501, rs_g05=0.506, rs_mtd_g0=0.497, rs_mtd_g05=0.499, never_send=0.486, always_send=0.527, random_send=0.491
  Experiment 0, draw 64/100, user 170, exp_seed 34, draw_seed 1824568017 ... CAE means: micro_g0=0.490, micro_g05=0.489, mtd_g0=0.495, mtd_g05=0.490, rs_g0=0.487, rs_g05=0.493, rs_mtd_g0=0.494, rs_mtd_g05=0.486, never_send=0.478, always_send=0.493, random_send=0.482
  Experiment 0, draw 65/100, user 252, exp_seed 34, draw_seed 782820259 ... CAE means: micro_g0=0.206, micro_g05=0.207, mtd_g0=0.205, mtd_g05=0.211, rs_g0=0.212, rs_g05=0.207, rs_mtd_g0=0.199, rs_mtd_g05=0.205, never_send=0.211, always_send=0.187, random_send=0.203
  Experiment 0, draw 66/100, user 141, exp_seed 34, draw_seed 2969821942 ... CAE means: micro_g0=0.560, micro_g05=0.550, mtd_g0=0.560, mtd_g05=0.533, rs_g0=0.534, rs_g05=0.554, rs_mtd_g0=0.555, rs_mtd_g05=0.536, never_send=0.616, always_send=0.512, random_send=0.539
  Experiment 0, draw 67/100, user 195, exp_seed 34, draw_seed 747360557 ... CAE means: micro_g0=0.265, micro_g05=0.268, mtd_g0=0.264, mtd_g05=0.267, rs_g0=0.268, rs_g05=0.268, rs_mtd_g0=0.268, rs_mtd_g05=0.268, never_send=0.255, always_send=0.263, random_send=0.269
  Experiment 0, draw 68/100, user 225, exp_seed 34, draw_seed 2125534950 ... CAE means: micro_g0=0.577, micro_g05=0.556, mtd_g0=0.519, mtd_g05=0.558, rs_g0=0.570, rs_g05=0.526, rs_mtd_g0=0.541, rs_mtd_g05=0.522, never_send=0.484, always_send=0.558, random_send=0.517
  Experiment 0, draw 69/100, user 251, exp_seed 34, draw_seed 2377455361 ... CAE means: micro_g0=0.000, micro_g05=0.000, mtd_g0=0.000, mtd_g05=0.000, rs_g0=0.000, rs_g05=0.000, rs_mtd_g0=0.000, rs_mtd_g05=0.000, never_send=0.000, always_send=0.000, random_send=0.000
  Experiment 0, draw 70/100, user 188, exp_seed 34, draw_seed 3452667700 ... CAE means: micro_g0=0.966, micro_g05=0.922, mtd_g0=0.952, mtd_g05=0.898, rs_g0=0.968, rs_g05=0.946, rs_mtd_g0=0.958, rs_mtd_g05=0.967, never_send=0.846, always_send=0.935, random_send=0.865
  Experiment 0, draw 71/100, user 170, exp_seed 34, draw_seed 85597771 ... CAE means: micro_g0=0.461, micro_g05=0.458, mtd_g0=0.466, mtd_g05=0.463, rs_g0=0.453, rs_g05=0.461, rs_mtd_g0=0.466, rs_mtd_g05=0.462, never_send=0.446, always_send=0.459, random_send=0.453
  Experiment 0, draw 72/100, user 151, exp_seed 34, draw_seed 3176594385 ... CAE means: micro_g0=0.737, micro_g05=0.717, mtd_g0=0.712, mtd_g05=0.709, rs_g0=0.747, rs_g05=0.712, rs_mtd_g0=0.684, rs_mtd_g05=0.685, never_send=0.620, always_send=0.820, random_send=0.693
  Experiment 0, draw 73/100, user 170, exp_seed 34, draw_seed 2577068041 ... CAE means: micro_g0=0.477, micro_g05=0.472, mtd_g0=0.469, mtd_g05=0.482, rs_g0=0.483, rs_g05=0.474, rs_mtd_g0=0.471, rs_mtd_g05=0.474, never_send=0.458, always_send=0.473, random_send=0.462
  Experiment 0, draw 74/100, user 184, exp_seed 34, draw_seed 1503796861 ... CAE means: micro_g0=-0.540, micro_g05=-0.535, mtd_g0=-0.541, mtd_g05=-0.535, rs_g0=-0.538, rs_g05=-0.548, rs_mtd_g0=-0.546, rs_mtd_g05=-0.542, never_send=-0.440, always_send=-0.607, random_send=-0.536
  Experiment 0, draw 75/100, user 225, exp_seed 34, draw_seed 2719947246 ... CAE means: micro_g0=0.506, micro_g05=0.506, mtd_g0=0.532, mtd_g05=0.530, rs_g0=0.516, rs_g05=0.502, rs_mtd_g0=0.516, rs_mtd_g05=0.525, never_send=0.476, always_send=0.559, random_send=0.486
  Experiment 0, draw 76/100, user 252, exp_seed 34, draw_seed 3485465248 ... CAE means: micro_g0=0.215, micro_g05=0.225, mtd_g0=0.218, mtd_g05=0.215, rs_g0=0.220, rs_g05=0.219, rs_mtd_g0=0.211, rs_mtd_g05=0.224, never_send=0.218, always_send=0.201, random_send=0.210
  Experiment 0, draw 77/100, user 138, exp_seed 34, draw_seed 2272943080 ... CAE means: micro_g0=-0.706, micro_g05=-0.577, mtd_g0=-0.691, mtd_g05=-0.701, rs_g0=-0.756, rs_g05=-0.811, rs_mtd_g0=-0.730, rs_mtd_g05=-0.587, never_send=-0.688, always_send=-0.698, random_send=-0.684
  Experiment 0, draw 78/100, user 252, exp_seed 34, draw_seed 2152334930 ... CAE means: micro_g0=0.213, micro_g05=0.211, mtd_g0=0.216, mtd_g05=0.216, rs_g0=0.219, rs_g05=0.210, rs_mtd_g0=0.216, rs_mtd_g05=0.222, never_send=0.216, always_send=0.195, random_send=0.209
  Experiment 0, draw 79/100, user 188, exp_seed 34, draw_seed 89940784 ... CAE means: micro_g0=0.951, micro_g05=0.952, mtd_g0=0.957, mtd_g05=0.920, rs_g0=0.968, rs_g05=0.955, rs_mtd_g0=0.944, rs_mtd_g05=0.986, never_send=0.867, always_send=0.932, random_send=0.884
  Experiment 0, draw 80/100, user 160, exp_seed 34, draw_seed 4246814765 ... CAE means: micro_g0=0.602, micro_g05=0.609, mtd_g0=0.611, mtd_g05=0.570, rs_g0=0.607, rs_g05=0.582, rs_mtd_g0=0.570, rs_mtd_g05=0.576, never_send=0.545, always_send=0.618, random_send=0.574
