horizon,day,slot,index,feature,coefficient,residual_sigma2,n_obs,ci_low,ci_high,ci_level,boot_se
2,1,2,22,M_Y_day5_fourSC_afternoon,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,23,M_Y_day5_anticipated_affect,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,24,M_Y_day6_fourSC_morning,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,25,M_Y_day6_fourSC_afternoon,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,26,M_Y_day6_anticipated_affect,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,27,M_E_day1_pageview_morning,0.02190508807010119,0.006999106189993113,290,-0.011261816210116151,0.06056011434897021,0.95,0.017748833472264067
2,1,2,28,M_E_day1_pageview_afternoon,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,29,M_E_day1_morning_fitbit_wear,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,30,M_E_day1_daily_survey_complete,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,31,M_E_day2_pageview_morning,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,32,M_E_day2_pageview_afternoon,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,33,M_E_day2_morning_fitbit_wear,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,34,M_E_day2_daily_survey_complete,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,35,M_E_day3_pageview_morning,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,36,M_E_day3_pageview_afternoon,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,37,M_E_day3_morning_fitbit_wear,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,38,M_E_day3_daily_survey_complete,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,39,M_E_day4_pageview_morning,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,40,M_E_day4_pageview_afternoon,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,41,M_E_day4_morning_fitbit_wear,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,42,M_E_day4_daily_survey_complete,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,43,M_E_day5_pageview_morning,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,44,M_E_day5_pageview_afternoon,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,45,M_E_day5_morning_fitbit_wear,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,46,M_E_day5_daily_survey_complete,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,47,M_E_day6_pageview_morning,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,48,M_E_day6_pageview_afternoon,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,49,M_E_day6_morning_fitbit_wear,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,50,M_E_day6_daily_survey_complete,0.0,0.006999106189993113,290,0.0,0.0,0.95,0.0
2,1,2,51,yesterday_step_count,0.03611859175845692,0.006999106189993113,290,-0.009652285167893347,0.060020561121721015,0.95,0.017803613628821612
2,1,2,52,ema_step_count,-0.04110043872041427,0.006999106189993113,290,-0.11630700326812092,0.00875329930550137,0.95,0.03173116732944832
2,1,2,53,prior2hour_step_count,0.02308018686384205,0.006999106189993113,290,-0.0012255589827123922,0.05281775964216806,0.95,0.014170011093235488
2,1,2,54,previous7days_rpa,0.12433539282381934,0.006999106189993113,290,-0.010619256194589024,0.26432318602111177,0.95,0.0699345752251892
2,1,2,55,active_status_fraction_7days,0.14687985065060055,0.006999106189993113,290,-0.020325105978469097,0.31246832295829224,0.95,0.08456141256308475
2,1,2,56,recent_burden,-0.010830460477417548,0.006999106189993113,290,-0.038829815244108334,0.02063830478957609,0.95,0.015045674794059709
2,1,2,57,salience_yesterday,-0.021184770139645037,0.006999106189993113,290,-0.07349381958916526,0.00969484800336193,0.95,0.021263125222945642
2,1,2,58,walk_interaction_7d,0.13252613998962726,0.006999106189993113,290,-0.028817280360946777,0.3235917050925928,0.95,0.09009113783805231
2,1,2,59,A,0.003483969643218234,0.006999106189993113,290,-0.03237056645514287,0.05120473431296641,0.95,0.022601014077995068
